Part Number,Mfg Name,VID,Vendor Part Num,Description,Customer Ref,Part Value,Tol,Qty-1,Qty-5,Qty-25,Part References,Value
CRCW06030000ZSTB,Vishay,ME,71-CRCW0603000ZT-RT5,Thick Film Resistors - SMD 1/10watt ZEROohm Jumper,res013,0,*,3,15,75,"R18, R42, R43",0
CR0603-FX-1003ELF,Bourns,ME,652-CR0603-FX-103ELF,Thick Film Resistors - SMD 100K 1% 1/10 WATT,res004,100k,*,1,5,25,"R25",1.2k
CR0603-FX-1803ELF,Bourns,ME,652-CR0603FX-1803ELF,Thick Film Resistors - SMD 180K 1% 1/10W,res006,180k,*,5,25,125,"R22, R28, R31, R36, R38",1.2k
CR0603-FX-1004ELF,Bourns,ME,652-CR0603FX-1004ELF,Thick Film Resistors - SMD 1M 1% 1/10W,res003,1M,*,5,25,125,"R1, R2, R3, R13, R15",1M
*** ERROR - PART '1n34A' NOT FOUND FOR: "D2, D3"
1N4002E-E3/73,Vishay,ME,625-1N4002E-E3/73,Rectifiers Vr/100V Io/1A,diode001,*,*,1,5,25,"D1",1N4002
CR0603-FX-1001HLF,Bourns,ME,652-CR0603-FX1001HLF,Thick Film Resistors - SMD 1KOHM 1/10WATT 1%,res001,1k,*,3,15,75,"R6, R7, R12",1k
CR0603-FX-1004ELF,Bourns,ME,652-CR0603FX-1004ELF,Thick Film Resistors - SMD 1M 1% 1/10W,res003,1M,*,1,5,25,"R4",1k
CR0603-FX-1241ELF,Bourns,ME,652-CR0603FX-1241ELF,Thick Film Resistors - SMD 1.24K 1% 1/10W,res005,1.24k,*,1,5,25,"R5",1k24
GRM188R61E105KA12J,Murata,ME,81-GRM188R61E105KA2J,Multilayer Ceramic Capacitors MLCC - SMD/SMT 1.0uF 25Volts 10%,capcer004,1u,10%,17,85,425,"C1, C2, C3, C4, C5, C6, C7, C8, C14, C15, C16, C17, C18, C19, C23, C24, C25",1u
CR0603-FX-1003ELF,Bourns,ME,652-CR0603-FX-103ELF,Thick Film Resistors - SMD 100K 1% 1/10 WATT,res004,100k,*,1,5,25,"R19",3.3k
*** ERROR - PART '*' NOT FOUND FOR: "S3, S4, S5"
GRM21BR61E475MA12L,Murata,ME,81-GRM21BR61E475MA2L,Multilayer Ceramic Capacitors MLCC - SMD/SMT 4.7uF 25Volts 20%,capcer006,4.7u,20%,2,10,50,"C9, C13",4u7
CR0603-FX-1002HLF,Bourns,ME,652-CR0603-FX1002HLF,Thick Film Resistors - SMD 10KOHM 1/10WATT 1%,res002,10k,*,2,10,50,"R8, R9",10k
VJ0603Y223KXXCW1BC,Vishay,ME,77-VJ0603Y223KXXCBC,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 0.022uF 25volts X7R 10%,capcer002,22n,10%,1,5,25,"C21",20n
CR0603-FX-3302ELF,Bourns,ME,652-CR0603FX-3302ELF,Thick Film Resistors - SMD 33K ohm 1%,res008,33k,*,2,10,50,"R34, R35",33k
CR0603-FX-1003ELF,Bourns,ME,652-CR0603-FX-103ELF,Thick Film Resistors - SMD 100K 1% 1/10 WATT,res004,100k,*,2,10,50,"R16, R17",100k
*** ERROR - PART 'RV16AF-41-15R1-A100K' NOT FOUND FOR: "P3"
*** ERROR - PART 'RV16AF-41-15R1-B100K' NOT FOUND FOR: "P1, P2"
VJ0603Y101MXXCW1BC,Vishay,ME,77-VJ0603Y101MXXCBC,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 100pF 25volts X7R 20%,capcer001,100p,20%,1,5,25,"C12",100p
AVE107M25X16T-F,CornellDubilier,ME,598-AVE107M25X16T-F,Aluminium Electrolytic Capacitors - SMD 100uF 25V 85C,capelec001,100u,*,2,10,50,"C10, C11",100u
GRM188R71E124KA01D,Murata,ME,81-GRM188R71E124KA1D,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.12uF 25Volts X7R 10%,capcer005,120n,10%,1,5,25,"C22",120n
CR0603-FX-2673ELF,Bourns,ME,652-CR0603FX-2673ELF,Thick Film Resistors - SMD 267K ohm 1%,res007,267k,*,2,10,50,"R10, R11",267k
CR0603-FX-3900ELF,Bourns,ME,652-CR0603FX-3900ELF,Thick Film Resistors - SMD 390 ohm 1%,res009,390,*,7,35,175,"R21, R24, R27, R30, R33, R37, R40",270
CR0603-FX-4700ELF,Bourns,ME,652-CR0603FX-4700ELF,Thick Film Resistors - SMD 470 ohm 1%,res011,470,*,1,5,25,"R14",470
C0603C684K4PACTU,Kemet,ME,80-C0603C684K4P,Multilayer Ceramic Capacitors MLCC - SMD/SMT 16volts 0.68uF X5R 10%,capcer003,680n,10%,1,5,25,"C20",680n
CR0603-FX-4303ELF,Bourns,ME,652-CR0603FX-4303ELF,Thick Film Resistors - SMD 430K ohm 1%,res010,430k,*,5,25,125,"R20, R23, R26, R29, R32",820k
CR0603-FX-9103ELF,Bourns,ME,652-CR0603FX-9103ELF,Thick Film Resistors - SMD 910K ohm 1%,res012,910k,*,2,10,50,"R39, R41",910k
1267,Keystone electronics,ME,534-1267,Terminals TERMINAL .110X.020,con013,1267,*,1,5,25,"9VIN2",1267
CD4053BM96G3,TexasInstruments,ME,595-CD4053BM96G3,Multiplexer E19Switch ICs CMOS Triple 2Ch Ana Mux/Demux,iclog001,4053,*,3,15,75,"IC3, IC4, IC5",4053D
*** ERROR - PART '929834-01-02-RK' NOT FOUND FOR: "JP1"
BAV199,235,NXP,ME,771-BAV199235,Rectifiers DIODE LOW LEAKAGE,diode002,BAV199,*,3,15,75,"D4, D5, D6",BAV199
BLM31PG121SN1L,Murata,ME,81-BLM31PG121SN1L,EMI Filter Beads, Chips & Arrays 1206 120 OHM,fer002,120,*,2,10,50,"FB1, FB2",BLM31PG121SN1L
12BH629-GR,Eagle Plastic Devices,ME,12BH629-GR,Cylindrical Battery Contacts, Clips, Holders & Springs AA/AAA SPRING CONT,con014,*,*,1,5,25,"BS1",CLIPAAA-
*** ERROR - PART '929834-01-04-RK' NOT FOUND FOR: "JP4"
*** ERROR - PART '929834-01-04-RK' NOT FOUND FOR: "JP5"
163-179PH-EX,Kobiconn,ME,163-179PH-EX,DC Power Connectors PCB 2.1MM,con001,*,*,1,5,25,"J1",DCJ0202
*** ERROR - PART '*' NOT FOUND FOR: "JP3, JP6, JP7, JP8"
*** ERROR - PART '929834-01-04-RK' NOT FOUND FOR: "JP2"
*** ERROR - PART '*' NOT FOUND FOR: "JP9"
*** ERROR - PART '*' NOT FOUND FOR: "JP10"
*** ERROR - PART '*' NOT FOUND FOR: "JP11"
C5SMF-GJS-CV14Q7S1,Cree,Inc.,ME,941-C5SMFGJSCV14Q7S1,Standard LED - Through Hole Green Oval LED ,led002,GREEN,*,1,5,25,"LED3",GREEN
1267,Keystone electronics,ME,534-1267,Terminals TERMINAL .110X.020,con013,1267,*,6,30,150,"4V5IN1, G1, G2, G3, IN1, OUT1",LSP13
MMBT5089,Fairchild Semiconductor,ME,512-MMBT5089,Transistors Bipolar - BJT NPN Transistor General Purpose ,bjt001,MMBT5089,*,7,35,175,"Q1, Q2, Q3, Q4, Q5, Q6, Q7",MMBT5089
NMJ4HCD2,REAN,ME,550-12202,Phone Connectors 2C MONO 2-SPST NC,con005,*,*,1,5,25,"J3",MONOSW3C
M2022SS1W03,NKKSwitches,ME,633-M202203,Toggle Switches ON-NONE-ON PC DPDT,sw0001,M2022SS1W03,*,1,5,25,"S2",MTOGG_DPDT
*** ERROR - PART 'M2023SS1W03' NOT FOUND FOR: "S1"
NFM3DPC223R1H3L,Murata,ME,81-NFM3DPC223R1H3L,EMI/RFI Suppressors & Ferrites 0.022uF 50V 2A',fer001,22n,*,1,5,25,"CF1",NFM3DC
RC4580IDR,TexasInstruments,ME,595-RC4580IDR,Operational Amplifiers - Op Amps Dual Hi-Performance Op Amp,icopamp004,RC4580ID,*,2,10,50,"IC1, IC2",RC4580ID
598-8210-107F,Dialight,ME,645-598-8210-107F,Standard LED - SMD Red Water Clr 80mcd 640nm,led001,RED,*,2,10,50,"LED1, LED2",RED
NMJ6HCD2,REAN,ME,550-22302,Phone Connectors STEREO CHROME NOSE,con006,*,*,1,5,25,"J2",STEREOSW3C
